,lang,text,category,label
1498,mal,Abhay നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ,homophobic-derogation,1
1500,mal,9 എല്ലാ കുണ്ടന്മാരുടെയും അണ്ടി അറുത്തെടുത്തു നാട് കടത്തു കൊല്ലുക 9,homophobic-threatening,2
1507,mal,Inghanathe jeevikale kanunnathe kalippa Ente ഒരു frnd ekm to tvm pokuvarnn ഒരു 56 vayss age enghilm ഒള്ള pulli  Kandal manyan ivante aditha ahh irunnath  Ivan onn oranghiya gapil aah thayoli kazpp kanich parayan pattatha kond parayanilla spotil chevikkallu pottana adiyum pulli vaaanghich kelഅവൻ mar ayalum eeh ഒരു jeevikal kk kodukendath kodukanam ഇതൊക്കെ  prolsahipikkallu allel pennayitt jeevikkanam thuuff ithu pole illathinghale kanunnathe verupp ahh,homophobic-derogation,1
1512,mal,shahaban കൊച്ചി അത് നിന്നെപോലത്തെ കുണ്ടന്മാർക്ക് മാത്രം,homophobic-derogation,1
1513,mal,Eee myran mark entha vatta ithinakal 9 aakunatha,homophobic-derogation,1
1520,mal,Bhagyam enik penninod matram instrst thoniyath  enthഒരു myrrrr erpaadanith,homophobic-derogation,1
1523,mal,രണ്ട് മണ്ടൻമാർ അയ്യേ ഇനി എന്തൊക്കെ കാണേണ്ടി വരും പടച്ചോനോ  കാക്കണേ യാ റബ്ബേ,homophobic-derogation,1
1526,mal,Amal Sasi കുഞ്ഞു Johnnyക്കുമ്പി ഗേ ആണെങ്കിൽ അതിനെ കൊല്ലണം എന്തിനാ അത് ജീവിക്കുന്നത് ,homophobic-threatening,2
1539,mal,Varun Punnala താൻ ഇത്രയും സപ്പോർട്ട് കൊടുക്കുന്നത് എന്ത് കൊണ്ടാണെന്നു മനസ്സിലായി ഇത്തരം കാര്യങ്ങൾക്കു ഇപ്പൊ സമൂഹത്തിൽ ഭയങ്കര പിന്തുണ ആണ് ഒരു വശം നോക്കിയാൽ വളരെ നല്ല കാര്യം പെണ്ണുങ്ങളെ പീഡിപ്പിക്കാതെ ഇരിക്കൂ സെക്സിനു നിബന്ധനകൾ ഉണ്ട് എന്ന് തന്നെ ആണ് എന്റെ വിശ്വാസം കൂടുതൽ സന്തോഷം കിട്ടാൻ നമ്മുടെ നമ്മുടെ വീട്ടിൽ നിന്നുള്ളവരും ആയി നമ്മൾ അത് ചെയ്യുമോ കാമം പുണ്യമാണ് പവിത്രമാണ് അതിനു അതിന്റെതയ മര്യാദ ഉണ്ട് എന്ന് തന്നെ ആണ് വിശ്വാസം,homophobic-derogation,1
1541,mal,Eeee kundan samithikkaraayirikkum,homophobic-derogation,1
1543,mal,Homosexuality തെറ്റ് ആണെന്ന് ഭൂരിപക്ഷം ആൾക്കാരും വിശ്വസിക്കണത് അവരുടെ വേദ പുസ്തകങ്ങളിൽ അത് തെറ്റ് ആണെന്ന് പറഞ്ഞത് കൊണ്ടാണ് അതിൽ എന്താണ് തെറ്റ്,homophobic-derogation,1
1544,mal,vishnu iyer ee coment itta neeyum കുന്ദൻ  aanu കുന്ദൻ mare paranapo ninak vedhanicho കുന്ദൻ  shaga sangikal,homophobic-derogation,1
1547,mal,പുരുഷ വേഷത്തിൽ ഇവരെ ആരും തിരിഞ്ഞു നോക്കില്ല അവരും വികാര ജീവികൾ അല്ലേ  പാവങ്ങൾ,transphobic-derogation,5
1557,mal,ഒരു ലോഡ് പുച്ഛംദൈവത്തിന്റെ സ്വന്തം നാട് കുണ്ടന്മാരുടെ സ്വന്തം നാട് ആവു ന്ന കാലം അധികം വിദുരമല്ല,homophobic-derogation,1
1566,mal,അമേരിക്കയിൽ ഒക്കെ കണ്ടിരുന്ന ഇ പ്രതിഭാസം ഇങ് ഇ കൊച്ചു കേരളത്തിൽ വരെ എത്തി കുണ്ടി അടി വീണ്ടും വരികയാണോ എന്റെ shivane,homophobic-derogation,1
1580,mal,ഇത്‌ അംഗീകരിക്കാന്‍ പറ്റില്ല ഇത്‌ വളരെ വൃത്തികെട്ട ഒരു സംസ്കാരം ആന്‍,homophobic-derogation,1
1583,mal,ശീതൾ നിങ്ങളോട് ബഹുമാനം ഉണ്ടായിരുന്നു കുറിച്ചു ദിവസങ്ങൾക്കു മുൻപ് വരെനിങ്ങളുടെ കമ്മ്യൂണിറ്റിയോട് തന്നെ ഉള്ള respect കുറഞ്ഞു എന്നതാണ് സത്യം,transphobic-derogation,5
1588,mal,ഇതുപോലത്തെ കുറെ കുണ്ടന്മാർ ഉണ്ട് എനിക്കും ഉണ്ടായിട്ടുണ്ട് ഒരാൾ അനുഭവം,homophobic-derogation,1
1589,mal,പോ മൈരേ കുണ്ടന്മ്മാർ ഉള്ളത് വടക്ക് ആണെന്ന് പണ്ടേ കാരണവന്മാർ ക്ക്‌ അറിയാം അതാ അവിടെ ഉള്ളവരെ കുണ്ടൻ എന്ന് വിളിക്കുന്നത്,homophobic-derogation,1
1592,mal,same കാമം bendhagal cheytu jeevikkunntu കൊണ്ട്  endhu gunamanu samoohathinum kudumbathinum agane cheyyunnavarkkum lebhikkuka ,homophobic-derogation,1
1601,mal,Sreelakshmi Suresh same കാമം relationship support cheyyunnatu purogamanaparamaya oru sambhavamanennu eniku thonnunnilla Karanam etharam bendhagal nammal jenikkunnatinu munpe rehasyamayi kondu pokunna dharalam aalukal und,homophobic-derogation,1
1604,mal,ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,transphobic-derogation,5
1638,mal,Podaa njaramba penn azhichitt kandal eeth aaninum pongum ഒരു aanine kanditt pongunnath enthaada,homophobic-derogation,1
1641,mal,കുണ്ടന്മാർ കുരു പൊട്ടിക്കുന്നു,homophobic-derogation,1
1642,mal,Iqbal Ikku podaa Kunda,homophobic-derogation,1
1646,mal,Ee mairanmarraaa pole ellavarrkum thonniyirunenghil bhoomiyil arrum jenikulaayirrunu Natural aaya relationship God manusyaanu thalamurrakala bhoomil jeenipikan thanna anugrahamaathu enghanaa nashipichu kalanjittu mattulaavarku moshamaaya moral kanichu kodukunathu vazhi evarru Ee lokhaathoddu kanikunathu sherriyalaa 100percent wrong relationship,homophobic-derogation,1
1665,mal,Assalu kundanmaru mairanmaru thupuuuuu,homophobic-derogation,1
1681,mal,ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane ഒക്കെ  abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,transphobic-derogation,5
1682,mal,PRAVASI entertainment ath sheriyaan Delhiyilekk schooltrip poyatha train il Ottum safe Alla enn parayam Pokunna vazhiyil kaikotti Varun Kore ennam Keralathinte porathe inghethe kozhappam ullu,transphobic-derogation,5
1683,mal,കുണ്ടനടി വലിയ ഡെക്കറേഷൻ venda,homophobic-derogation,1
1684,mal,Lokavasanathinta naalukal ennapetu thudangi,homophobic-derogation,1
1685,mal,Thfoooo poyi chaavineda naayintemonmaare oothukale,homophobic-derogation,1
1686,mal,e same കാമം biosex ഒക്കെ  americayil Mathre ഉള്ളു  enne vicharichirikaneyirunu ഞാൻ  ethippa elladathum undallo aarum deshyam Keri theri vilikaruth enik ariyam paadilanitt chothikukaya enganeyane ഒരു boy or girl ഗേ aavunath janikumbol Thane aakumo anganeyanel avare thett ഞാൻ  parayillaalland manapurvam ഗേ aavuna aalkare vedi vech kollanam evanഒക്കെ  enthinta kedane shardikan varillepinne അവൻ te കുടുംബം enth cheyyum avar samoohathil nanam kedille Valla vicharavum undo evanmark sorry കുന്ദൻ markgenetically hormonal samesex vikaramulla aareyum ഞാൻ  kuttapeduthunulla engilum enik ethinode yogikan pattilla its their faith and they r not sad about it Kazhiyunathum enganeyulla aalkare eനീ undavഅല്ലേ ennu maathram ഞാൻ  prarthikunnu,homophobic-derogation,1
1689,mal,Ardra Achu കളിയാക്കുക തന്നെ വേണം ഇതിനോട് നിനക്ക് പറ്റും ഞങ്ങൾക്ക് യോജിപ്പ് ഇല്ല അണ്ണാച്ചി തള്ളേ,homophobic-derogation,1
1692,mal,ആണത്തം നഷ്ടപെട്ട ആണും പെണ്ണും കെട്ടവന്മാർ 2 ഉം ഇനി എത്ര എണ്ണം varanundo എന്തോ,homophobic-derogation,1
1693,mal,vivaham ennathu vikaarangalum vichaarangalum theerkan ullathaano atho manushya varghathinde nilanilpinuvendiyaano LGBT is an agenda for population control,homophobic-derogation,1
1708,mal,ഏതിന ഇങ്ങനെ കോപ്രായങ്ങൾ കാണിച്ചു നടക്കുന്നത് മാന്യമായി ജീവിച്ചു പോയാൽ പോരെ,transphobic-derogation,5
1714,mal,മേക്കപ്പില്ലെങ്കിൽ ശശികലയുടെ മുഖം പോലിരിക്കും കാണുമ്പോൾ a,transphobic-derogation,5
1720,mal,പുരുഷന്മാരെ പോലും വെറുതെ വിടാത്ത കുണ്ടൻ തായോളികൾ ,homophobic-derogation,1
1723,mal,അമേരിക്കയിൽ ഒക്കെ കണ്ടിരുന്ന ഇ പ്രതിഭാസം ഇങ് ഇ കൊച്ചു കേരളത്തിൽ വരെ എത്തി കുണ്ടി അടി വീണ്ടും വരികയാണോ എന്റെ shivane,homophobic-derogation,1
1726,mal,3858 kaaanada kunnakale pakka udayipaa evark kunna thanneya ullath,transphobic-derogation,5
1727,mal,Dgzhrsustj Ighxufsuts പുരുഷന്മാരെ പോലും വെറുതെ വിടാത്ത കുണ്ടൻ തായോളികൾ ,homophobic-derogation,1
1729,mal,ലോകാവസാനം അപ്പ അടുത്തെത്തിഇത് കണ്ട് പ്രോഝാഹിപ്പിക്കാൻ കൊറേഊളകളും,homophobic-derogation,1
1731,mal,Ee myranmare kollanam 9,transphobic-threatening,6
1734,mal,Changayimare vallaatha vishamund e nanam ketta paripadi kandittuente abiprayam  Petta thanthakum thallakum ethravishamam undakumeniku thonunilla ningalde parents accept cheyumennu Loka avasanam ayienthayalum Nanamketta paripadiyayai Bros,homophobic-derogation,1
1736,mal,Rishan ahmed innathe kaaalath athonnum nokilla Kundan adikkandavarkk kundan adikkaaam Athokke avarude mind,homophobic-derogation,1
1744,mal,കുന്ദൻ adikaareBest of luck iനീ swastamaai കുന്ദൻ adikkaa ningakum e aagoshathil pangedukkaa jai കുന്ദൻ s,homophobic-derogation,1
1745,mal,janikkumbo ullath vech jeevichudee allathe kopraayam kaattanoo  BLEDY FOOL,transphobic-derogation,5
1746,mal,കുണ്ടനടി വലിയ ഡെക്കറേഷൻ venda,homophobic-derogation,1
1754,mal,ആണുങ്ങടെ നല്ല കുണ്ടി കണ്ടാൽ കാമം മൂക്കുന്ന കിഴവന്മാർ ,homophobic-derogation,1
1759,mal,മേക്കപ്പില്ലെങ്കിൽ ശശികലയുടെ മുഖം പോലിരിക്കും കാണുമ്പോൾ a,transphobic-derogation,5
1763,mal,kundanmare pinne poomala ittu sweekarikanoo,homophobic-derogation,1
1764,mal,ബ്ലാ ഡിസ്‌ലൈക്ക് അടിച്ചിട്ടുണ്ട് വൃത്തി കേട്ട പരുപാടി ഒരു ആൺകുട്ടിക്ക് പെണ്ണാണ് ഇണയായിട്ട് വേണ്ടത് അല്ലാന്നു പറയാൻ പറ്റോ സുഹൃത്തുക്കളെ ഇത് മൈര് പരുപാടി ആയിപ്പോയി സപ്പോർട്ട് ചെയ്യാൻ കുറെ നായിന്റെ മക്കളും ഇഹ് ഇഹ്,homophobic-derogation,1
1768,mal,vivaham ennathu vikaarangalum vichaarangalum theerkan ullathaano atho manushya varghathinde nilanilpinuvendiyaano LGBT is an agenda for population control,homophobic-derogation,1
1774,mal,shmee avare kandal mikkavarum parayuka aanum pennum ketta vargam  allenkil 9 ennokke alle athaanu avarku ettavum apamankaram,transphobic-derogation,5
1775,mal,ഇവർക്ക് ചികിത്സ കൊടുത്താൽ ഫലം ചെയ്യില്ലേസ്ത്രൈണത കാണിക്കുന്ന ഒരു പുരുഷൻ പുരുഷ ഹോർമോണുകൾ ഇഞ്ചക്ഷൻ ചെയ്താൽ പോരെ,transphobic-derogation,5
1777,mal,Kashttam thanneguy allanjaramb rogam enna parayendathsupport cheyyanum undallo aallkkarkashttam,homophobic-derogation,1
1782,mal,Swavargha rathi maanyamaya reethi aano,homophobic-derogation,1
1783,mal,പരിഹസിക്കണ്ട ഇത് ലോകാവസാനത്തിന്റെ ലക്ഷണം തന്നെ ആണ് ഒരു സമൂഹം allhahuval നശിപ്പിക്കപെടാൻ പോകുന്നതിന്റെ ലാസ്റ്റ് സ്റ്റേജ് ആണ് സ്വവർഗ രതി ഖുര്ഹാന് വിശ്വാസo ഉണ്ടങ്കിൽ വായിച്ചു നോക്ക്,homophobic-derogation,1
1787,mal,Vaishnav Talks MM ഇവറ്റകൾ മഹാ വൃത്തികെട്ട ജന്മങ്ങൾ ആണ് സമൂഹത്തെ നശിപ്പിക്കും,homophobic-derogation,1
1792,mal,Malayalathil Napulsakam ennu ട്രാൻസ്ജെൻഡർsinu parayarille,transphobic-derogation,5
1795,mal,PRAVASI entertainment ath sheriyaan Delhiyilekk schooltrip poyatha ട്രെയിൻ il Ottum safe Alla enn parayam Pokunna vazhiyil kaikotti Varun Kore ennam Keralathinte porathe inghethe kozhappam ഉള്ളു ,transphobic-derogation,5
1797,mal,Daivam boomiyiek undakki vitta kolathil jeevikkada myrukale,transphobic-derogation,5
1802,mal,ഒരു ലോഡ് പുച്ഛംദൈവത്തിന്റെ സ്വന്തം നാട് കുണ്ടന്മാരുടെ സ്വന്തം നാട് ആവു ന്ന കാലം അധികം വിദുരമല്ല,homophobic-derogation,1
1809,mal,Cinema means entertainmentഅല്ലാണ്ട് 2 മണിക്കൂർ കാട്ടു കുണ്ടന്മാരെ കുണ്ടതരം കാണാൻ അല്ല മലയാളികൾ സിനിമ കാണുന്നത് അവന്റെ ഒക്കെ കോപ്പിലെ ഒരു newgeneration മാങ്ങാ തൊലി,homophobic-derogation,1
1810,mal,Aar parnu upadarvam illenn Bombayil okke vilannaattam aan Paisa thatti parich koduthillell thuni pokki kaanikkum Ipol keralathilu ട്രെയിൻil angne sambawam undayi Pinne beachside okke rathri kaanam aninjoruangi nilkkunnath Ivar eth reethiyil venmenkil society accept cheyyan vendi ingne kalikkunnathu ഇതൊക്കെ  ipol nammal sahathapam kond support cheyum bhaaviyil ath thalakkadi konda poleyaavaathirynnal nann Ingne ulla karyangal nale namuude makkaleyum influence cheyyilla enn paryan aavumo Ellaavareyum equal aayi kand nammude makkalum koott koodi avre pole aavillenn paryan patto Koottukettu influence cheyyilla ennn patto Kaalam theliyikkatte,transphobic-derogation,5
1815,mal,ഗേ പിന്തുണ cheyyunnad kond aaan naattil cheriya kuttikale polum avar seduce cheyyunnad Ith ninthe swandam veettilulla aale aan അവൻ maar seduce cheyyunnad engl nee mindaathirikko Enthe cheruppa kaalathu ഞാൻ  anubhavapettadaan Adond ithine ഞാൻ  orikkalum spprt cheyyathilla,homophobic-derogation,1
1818,mal,അമേരിക്കയിൽ ഒക്കെ കണ്ടിരുന്ന ഇ പ്രതിഭാസം ഇങ് ഇ കൊച്ചു കേരളത്തിൽ വരെ എത്തി കുണ്ടി അടി വീണ്ടും വരികയാണോ എന്റെ shivane,homophobic-derogation,1
1826,mal,Homophobia ആണ് ശെരിക്കും പ്രകൃതി വിരുദ്ധം,homophobic-derogation,1
1831,mal,Vyas Deep enth identity ഇതൊക്കെ  arthamillatha samskaram aanu Ninhlude makan allengil ninglude sahodaran ore lingathil petta aalumayi jeevikkunnath ningl angeekarich kodkkumo ഇതൊക്കെ  ipoyathe trend aanu guy mrg Oke Ivammare pootti valarthiya achanum ammayum myrammar allle,homophobic-derogation,1
1835,mal,kaaanada kunnakale pakka udayipaa evark kunna thanneya ullath,transphobic-derogation,5
1837,mal,Inghanathe jeevikale kanunnathe kalippa Ente oru frnd ekm to tvm pokuvarnn oru 56 vayss age enghilm olla pulli  Kandal manyan ivante aditha ahh irunnath  Ivan onn oranghiya gapil aah thayoli kazpp kanich parayan pattatha kond parayanilla spotil chevikkallu pottana adiyum pulli vaaanghich kelavanmar ayalum eeh oru jeevikal kk kodukendath kodukanam ithokke prolsahipikkallu allel pennayitt jeevikkanam thuuff ithu pole illathinghale kanunnathe verupp ahh,homophobic-derogation,1
1845,mal,മൂന്നാം ലിംകമായി ജനിക്കുന്ന വരെ നമുക്ക് സപ്പോർട്ട് ചെയ്യാം അഥവാ ലിംക മാറ്റ ശാസ്ത്രക്രിയക്ക് വേണ്ടുതൊക്കെ ചെയ്ത കൊടുക്കാം പക്ഷെ ഈ പേ കോലങ്ങളിൽ അധികവും പൂര്ണമായുള്ള പുരുഷ്യനോ സ്ത്രീയോ ആണ് മനസ്സ് സ്ത്ര or പുരുശ്യൻ എണ്ണാണ് പറയുന്നത് എങ്കിൽ നല്ലൊരു മനഃശ്ശാസ്ത്രാ വിദഗ്ധനെ സമീപിച്ചു ജന്മ ലിംഗത്തിൽ മാന്യമായി നില നിക്കുകയാണ് വേണ്ടത്,transphobic-derogation,5
1848,mal,Manesh Subeesh homosexuality enik manorogam aayit thonniyittilla but homophobia manorogam aayit thonniyittund,homophobic-derogation,1
1850,mal,eee nadu nashikkan pookunnu ennathinte thellivuu vallapokkam vannappol evarokae evidayayirunnu olichu poyilaloo devamae ,homophobic-derogation,1
1851,mal,മനുഷ്യർക്കു പ്രാന്ത് ആയാൽ എന്താ ചെയ്യുക ഒരു സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ട്രീറ്റ്മെന്റ് ചെയ്യുകയാണ് വേണ്ടത് ഇത്തരം തോന്നിവാസത്തിനു ദയവു ചെയ്തു ആരും കൂട്ടു നിൽക്കരുതേ സഹോദരൻമാരെ,homophobic-derogation,1
1855,mal,സ്വവർഗ അനുരാഗം എന്നാൽ സ്വവർഗരതിതന്നെനിയമം നല്കപ്പെടുന്നതിന് മുൻപേ തന്നെ ദൈവത്തെ ചൊടിപ്പിച്ചദൈവകോപം ആളിക്കത്തിയ ദൈവത്തിന്റെ പ്രവർത്തിയെ ഉൽപ്പത്തി പുസ്തകത്തിലെ സോദോമിനേയും ഗമോറയേയും കാണാൻ സാധിക്കും അവിടെ നടമാടിയ തിന്മ സ്വവർഗഭോഗം തന്നെയാണ് ഇന്ന് ഭൂമിയെ അനേകം തവണ ചുട്ടെരിക്കാനുള്ള ദൈവകോപം നമ്മുടെമേലുണ്ട് കാരണം അനേകം രാജ്യം അത് അംഗീകരിച്ചുഇപ്പോൾ ഒടുവിൽ ഇന്ത്യയിലും അന്ന് ചെറിയ പട്ടണത്തിൽ അത് നടമാടിയപ്പോൾ ഇന്ന് പാപം പെരുകി അവയുടെ വളർച്ച പല രാജ്യങ്ങളിലേക്ക് എത്തി തിരഞ്ഞെടുത്തവരെ പ്രതി ദൈവം അല്പം ക്ഷമ കാണിക്കുന്നുമാനസാന്തരപെടുക അല്ലെങ്കിൽ അഗ്നിക്ക് ഇരയാകുക,homophobic-derogation,1
1857,mal,റേപ്പ് ആരു ചെയ്താലും അത് മോശം തന്നെ ആണ് റേപ്പിനെ ന്യായികരിച്ചു ഞാൻ എവിടെ എങ്കിലും സംസാരിച്ചോ മൃഗങ്ങളും മനുഷ്യനും സെക്സിന്റെ കാര്യത്തിൽ ഒരു പോലെ ചിന്തിക്കണോ താൻ എന്ത് വിവരക്കേട് ആണ് പറയുന്നത് മനുഷ്യന് മൃഗങ്ങളേക്കാൾ വിശേഷ ബുദ്ധി ഇല്ലേ അറിവും വിവരവും ഉള്ള മനുഷ്യൻ കാണിക്കുന്ന വൃത്തികേട് ചോദ്യം ചെയ്യുമ്പോൾ താൻ മൃഗങ്ങളുടെ കാര്യം പറയുന്നത് എന്തിനാ നാണമില്ലേ മൃഗങ്ങളെ പോലെ ആണോ മനുഷ്യൻ ജീവിക്കേണ്ടത് പ്രത്യേകിച്ച് ഈ വിഷയത്തിൽ,homophobic-derogation,1
1863,mal,അറിവിനും അപ്പുറം homosexuality ജനിതകം ആയി ഉള്ളവർക്കു പറ്റില്ല പക്ഷെ ജീവിത സാഹചര്യം കൊണ്ട് homosexual ആയവർക് counselling കൊണ്ട് ഫലം കിട്ടു,homophobic-derogation,1
1864,mal,ഗേ anel trans ayitt jeevichonam,homophobic-derogation,1
1867,mal,പുരുഷ വേഷത്തിൽ ഇവരെ ആരും തിരിഞ്ഞു നോക്കില്ല അവരും വികാര ജീവികൾ അല്ലേ  പാവങ്ങൾ,transphobic-derogation,5
1869,mal,Sreelakshmi Suresh എനിക്ക്  agane ഒരു Kutty undayal chikilsa undegil athu cheyyum Counseling kodutho eganeyegilum maatti edukkan sremikkum Athinu otta karaname ulloo ഞാൻ  ഒരു daiva viswasiyanu Athu കൊണ്ട്  jedika asakthikale പിന്തുണ cheyyilla,homophobic-derogation,1
1872,mal,കഷ്ടം ഇതിനൊന്നും കോടതി അനുമതി നൽകാൻ പാടില്ല ഉണ്ടാവുന്നത് ഒരു പെണ്കുഞ്ഞാണെങ്കിൽ ഒരു അച്ഛൻ പീഡിപ്പിച്ചു എന്നാ news കുറേ കേട്ടിട്ടുണ്ട് അപ്പോഴാ രണ്ട് അച്ചന്മാർ ആ കുഞ്ഞ് ആരെയാ അച്ഛാ എന്ന് വിളിക്കുക അതിന് ഒരു അമ്മ വേണം എന്ന് ആഗ്രഹിക്കില്ലേ കഷ്ടം,homophobic-derogation,1
1874,mal,പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത് ,homophobic-derogation,1
1875,mal,3858 kaaanada kunnakale pakka udayipaa evark kunna thanneya ullath,transphobic-derogation,5
1887,mal,Changayimare vallaatha vishamund e nanam ketta paripadi kandittuente abiprayam  Petta thanthakum thallakum ethravishamam undakumeniku thonunilla ningalde parents accept cheyumennu Loka avasanam ayienthayalum Nanamketta paripadiyayai Bros,homophobic-derogation,1
1898,mal,ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ കൊല്ലുക,homophobic-threatening,2
1900,mal,2 boys inu istam ulle ntelum avar cheyyate gays athu pole alla ,homophobic-derogation,1
1901,mal,elijah creations ഫിലോസഫിയൊക്കെ കമന്റിലൂടെ പറയും പക്ഷേ സ്വാന്തം കുടുംബത്തിൽ ഇതുപോലൊരെണ്ണം ഉണ്ടാവട്ടെ അപ്പോൾ കാണാം എല്ലാവരുടേയും തനി നിറം ലെസ്ബിയൻ ഗേ ബൈ എന്നൊക്കെയുള്ളവരെ സ്വന്തം കുടുംബങ്ങൾ അംഗീകരിച്ചതായി എന്റെ അറിവിൽ ഇല്ല സ്വന്തം വീട്ടിൽ നിന്നും ഇവരെല്ലാം പുറത്താണ് എന്തുകൊണ്ട് Johnnyപ്പിച്ച മാതാ പിതാക്കൾപോലും ഇവരെ അംഗീകരിക്കുന്നില്ല ഇങ്ങനെയുള്ളവരെ വീട്ടിൽ നിന്നും പുറത്താക്കുന്നു എന്തുകൊണ്ടാണെന്ന് ചിന്തിച്ചിട്ടുണ്ടോ സ്വാവർഗ്ഗ രതിയെ എല്ലാ മതങ്ങളും എതിർക്കുന്നു അത് വലിയ തെറ്റാണ് ആ സംസ്ക്കാരം ഉൾകൊള്ളാൻ ഇത് യൂറോപ്പല്ല കേരളമാണ് ഒരു മതവിശ്വാസം ഉള്ള ആളുടെ ആദ്യ മുൻകടന മതത്തിനാണ് രണ്ടാമതേ ശാസ്ത്രം കടന്നു വരുന്നുള്ളൂ ഇന്ത്യയിൽ നിയമമുണ്ടെന്ന് കരുതി എന്ത് ആഭാസത്തരവും ആവാമെന്നാണോ,homophobic-derogation,1
1907,mal,രണ്ട് മണ്ടൻമാർ അയ്യേ ഇനി എന്തൊക്കെ കാണേണ്ടി വരും പടച്ചോനോ  കാക്കണേ യാ റബ്ബേ,homophobic-derogation,1
1909,mal,Sahanam thanneyaanu islam Ennal ithupole naanam ketta oru santhathi undaayal athine kollan madikkilla ennanu njan paranjathinte artham Allathe kollan vendeettalla Ente makan ingane aavathirikkan njan ente rabbinte margam avanu paranju kodukkum,homophobic-threatening,2
1912,mal,മൂന്നാം ലിംകമായി Johnnyക്കുന്ന വരെ നമുക്ക് സപ്പോർട്ട് ചെയ്യാം അഥവാ ലിംക മാറ്റ ശാസ്ത്രക്രിയക്ക് വേണ്ടുതൊക്കെ ചെയ്ത കൊടുക്കാം പക്ഷെ ഈ പേ കോലങ്ങളിൽ അധികവും പൂര്ണമായുള്ള പുരുഷ്യനോ സ്ത്രീയോ ആണ് മനസ്സ് സ്ത്ര or പുരുശ്യൻ എണ്ണാണ് പറയുന്നത് എങ്കിൽ നല്ലൊരു മനഃശ്ശാസ്ത്രാ വിദഗ്ധനെ സമീപിച്ചു ജന്മ ലിംഗത്തിൽ മാന്യമായി നില നിക്കുകയാണ് വേണ്ടത്,transphobic-derogation,5
1925,mal,കോഴിക്കോട് ഉള്ള കുണ്ടൻ എന്ന് പേര് ഇട്ടാൽ മതിയാരുന്നു,homophobic-derogation,1
1926,mal,ഇതൊക്കെ സിനിമേൽ കൊള്ളാം റിയൽ ലൈഫിൽ ഇതൊക്കെ പ്രെകൃതി വിരുദ്ധം ആണ് സ്വവർഗരതി കുടുംബത്തിൽ കയറ്റാവുന്ന സംസ്കാരം അല്ല ,homophobic-derogation,1
1930,mal,Indu Menon ningalude talamurayil 9 undo,transphobic-derogation,5
1932,mal,9 kal full make up anallo,transphobic-derogation,5
1933,mal,Vyas Deep mone athu egane sheri akum dhettedukan pillar venam enkil prekrthi നിയമം അനുസരിച്ച് jeevikenam alland imatri kundanmar aayi lokathullvar maariyal population undakumo,homophobic-derogation,1
1935,mal,Assalu കുന്ദൻ maru mairanmaru thupuuuuu,homophobic-derogation,1
1936,mal,Varun Punnala ഞാൻ ഹിന്ദു അല്ല എനിക്ക് ഖുര്ഹാന് ആണ് വിശ്വാസം ഖുര്ഹാനിൽ സ്വവർഗ രതി നാശത്തിന്റെ കവാടം ആണ്,homophobic-derogation,1
1939,mal,Correct കാമം ellaarum cheyyunnund but marriege Enna concept nod verupaannI mean ഗേ marriegesex hostel um gulf lum nadakunnundbut they married a girl,homophobic-derogation,1
1940,mal,മരിക്കുക ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ കൊല്ലുക,homophobic-threatening,2
1942,mal,podaa ThaayoliKunne ഗേ marriagepoor2 poorimavanmaru,homophobic-derogation,1
1944,mal,കുണ്ടൻ polayadi മക്കൾ അണ്ടി ചെത്തി കളയണം,homophobic-threatening,2
1954,mal,ഹരിഹരസുധനേ ഇപ്പോഴത്തെ ആണ്പിള്ളേരെ homosexuality യെ തൊട്ട് കാക്കണേ ,homophobic-derogation,1
1955,mal,കൊറേ നായിന്റെ മക്കൾ ആണും പെണ്ണും കേട്ട ഇനം,transphobic-derogation,5
1962,mal,Kozhikode mari ippo kundanmaru muzhuvanum trivandrum analle,homophobic-derogation,1
1963,mal,കേരളത്തിലെ ഉളുപ്പില്ലാത്ത ആദ്യ രണ്ടു വ്യക്തികൾ 9,homophobic-derogation,1
